"label"
"Sir Michael Cox, 3rd Baronet"
"Sir Richard Cox, 2nd Baronet"
"Sir Richard Eyre Cox, 4th Baronet"
"Arthur Cory-Wright"
"Longueville baronets"
"O'Neill baronets"
"Sir James Graham, 1st Baronet, of Kirkstall"
"Sir James Grant, 1st Baronet"
"Sir John Edwards, 1st Baronet, of Garth"
"Sir John Esmonde, 16th Baronet"
"Sir John Hayes, 1st Baronet"
"Sir John Hopkins, 1st Baronet"
"Sir John Stanley, 1st Baronet"
"Sir Robert Napier, 1st Baronet, of Luton Hoo"
"Sir Robert Napier, 1st Baronet, of Punknoll"
"Sir Robert Napier, 2nd Baronet"
"Sir Robert Williams, 1st Baronet, of Park"
"Sir Robert Williams, 2nd Baronet"
"Sir Robert Williams, 9th Baronet"
"Sir Thomas Burke, 3rd Baronet"
