"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"679316398","Kerry v. Din","47117603","http://www.supremecourt.gov/opinions/14pdf/13-1402_e29g.pdf"
"680211967","Los Angeles v. Patel","47135971","http://www.supremecourt.gov/opinions/14pdf/13-1175_2qe4.pdf"
"679291723","McLaughlin v. United States","47134257",""
"679189365","Michigan v. EPA","47330174","http://www.supremecourt.gov/opinions/14pdf/14-46_10n2.pdf"
"680643708","Santosky v. Kramer","47789400","http://www.oyez.org/cases/YYYY-YYYY/YYYY/YY-Docket/argument/"
"679294622","South Dakota v. Neville","47133568",""
"","United Automobile Workers v. Johnson Controls, Inc.","",""
"679295510","United States v. Barker","47132817",""
"683008155","United States v. Cook","47887667",""
"677578888","United States v. Creek Nation","47330586",""
"681895448","United States v. Drayton","47572053","https://supreme.justia.com/cases/federal/us/536/194/case.html"
"679953231","Abrams v. United States","959652",""
"","Adair v. United States","",""
"","Aguilar v. Felton","",""
"","Aguilar v. Texas","",""
"644785492","Albertson v. Subversive Activities Control Board","5814730",""
"","Alden v. Maine","4391011",""
"675480510","Atwater v. City of Lago Vista","2333976","http://caselaw.lp.findlaw.com/scripts/getcase.pl?court=US&vol=000&invol=99-1408#section2"
"669676763","Boyd v. United States","19511859",""
"644773975","Cramer v. United States","2111551",""
