"Anglican Church","Address","Phone","Capacity"
"Holy Trinity Cathedral","18 MacArthur Street Suva","3304693","750"
"St. Lukes Church","Laucala Bay Suva","3300483","100"
"St. Matthew's Church","Samabula Suva","3382483","150"
"St. Mark's Church","New Town Nasinu","3391884","150"
"St. John's Church","Wailoku Suva","3320262","20"
"Holy Family","Waidradra Pacific Harbour","3450287","100"
"Church of the Holy Spirit","Kavika Street Ba","6674482","100"
"St. Thomas Church","Vicarage Road Labasa","8811420","100"
"Church of the Holy Reedeemer","Beach Street Levuka","3440544","100"
"St. Peter's","Drasa Avenue Lautoka","6660124","250"
"St. Christopher's Church","London Avenue Nadi","6700582","100"
"Church of the Good Shepard","Nayawa Subdivision Sigatoka","6500801","50"
"St. Leonards Church","Savusavu","8850958","100"
