"university name","country","state / province"
"la trobe university","australia","NULL"
"monash university","australia","NULL"
"university of south australia","australia","NULL"
"university of southern queensland","australia","NULL"
"university of western sydney","australia","NULL"
"australian catholic university","australia","NULL"
"central queensland university: mackay campus","australia","NULL"
"university of canberra","australia","act"
"macquarie university","australia","new south wales"
"the university of sydney","australia","new south wales"
"university of new england","australia","new south wales"
"university of new south wales","australia","new south wales"
"university of newcastle: callaghan campus","australia","new south wales"
"university of wollongong: wollongong campus","australia","new south wales"
"charles darwin university","australia","northern territory"
"bond university","australia","queensland"
"griffith university: nathan campus","australia","queensland"
"queensland university of technology","australia","queensland"
"university of the sunshine coast","australia","queensland"
"carnegie mellon university australia","australia","south australia"
"flinders university","australia","south australia"
"the university of adelaide","australia","south australia"
"royal melbourne institute of technology (rmit university)","australia","victoria"
"the university of melbourne","australia","victoria"
"university of ballarat: mount helen campus","australia","victoria"
"victoria university","australia","victoria"
"curtin university","australia","western australia"
"edith cowan university","australia","western australia"
"the university of western australia","australia","western australia"
"azerbaijan medical university","azerbaijan","NULL"
"azerbaijan state oil academy","azerbaijan","NULL"
"azerbaijan university","azerbaijan","NULL"
"azerbaijan university of architecture and conustruction","azerbaijan","NULL"
"azerbaijan university of languages","azerbaijan","NULL"
"ganja state university","azerbaijan","NULL"
"lankaran state university","azerbaijan","NULL"
"mingechevir polytechnic institute","azerbaijan","NULL"
"sumgayit state university","azerbaijan","NULL"
"azerbaijan state agrarian university","azerbaijan","NULL"
"azerbaijan state cooperation university","azerbaijan","NULL"
"azerbaijan state economic university","azerbaijan","NULL"
"azerbaijan technological university","azerbaijan","NULL"
"baku business university","azerbaijan","NULL"
"baku state university","azerbaijan","NULL"
"nakhchivan state university","azerbaijan","NULL"
"odlar yurdu university","azerbaijan","NULL"
"academy of public administration under the president of azerbaijan republic","azerbaijan","baku"
"polytechnic college of campinas (policamp)","brazil","NULL"
"unimonte","brazil","NULL"
"federal center for technological education celso suckow da fonseca  (cefet - rj)","brazil","NULL"
"getulio vargas foundation (fgv - rio de janeiro)","brazil","NULL"
"federal university of ceara","brazil","ceara"
"university center of para (cesupa)","brazil","para"
"unified teaching center of teresina piaui (ceut)","brazil","piauí"
"university positivo","brazil","pr"
"brazilian institute of market economies - faculty of economics and finance rio de janeiro (ibmec - rj)","brazil","rj"
"education and research institute - insper (ibmec-sp)","brazil","são paulo"
"integrated college rio branco","brazil","sp"
"unipalmares - zumbi dos palmares university","brazil","sp"
"cape breton university","canada","NULL"
"fanshawe college","canada","NULL"
"humber college","canada","NULL"
"kwantlen polytechnic university","canada","NULL"
