"1","mallard","william r mason regional park","us-ca","01 jan 2009"
"2","house wren","william r mason regional park","us-ca","01 jan 2009"
"3","ring-billed gull","william r mason regional park","us-ca","01 jan 2009"
"4","ruddy duck","william r mason regional park","us-ca","01 jan 2009"
"5","song sparrow","william r mason regional park","us-ca","01 jan 2009"
"6","swan goose","william r mason regional park","us-ca","01 jan 2009"
"7","townsend&#8217;s warbler","william r mason regional park","us-ca","01 jan 2009"
"8","yellow-rumped warbler","william r mason regional park","us-ca","01 jan 2009"
"9","allen&#8217;s hummingbird","william r mason regional park","us-ca","01 jan 2009"
"10","american coot","william r mason regional park","us-ca","01 jan 2009"
"11","american crow","william r mason regional park","us-ca","01 jan 2009"
"12","american wigeon","william r mason regional park","us-ca","01 jan 2009"
"13","anna&#8217;s hummingbird","william r mason regional park","us-ca","01 jan 2009"
"14","black phoebe","william r mason regional park","us-ca","01 jan 2009"
"15","bushtit","william r mason regional park","us-ca","01 jan 2009"
"16","cackling goose","william r mason regional park","us-ca","01 jan 2009"
"17","canada goose","william r mason regional park","us-ca","01 jan 2009"
"18","eared grebe","william r mason regional park","us-ca","01 jan 2009"
"19","egyptian goose","william r mason regional park","us-ca","01 jan 2009"
"20","northern shoveler","william r mason regional park","us-ca","01 jan 2009"
"21","house finch","william r mason regional park","us-ca","02 jan 2009"
"22","white-crowned sparrow","william r mason regional park","us-ca","02 jan 2009"
"23","downy woodpecker","william r mason regional park","us-ca","02 jan 2009"
"24","double-crested cormorant","william r mason regional park","us-ca","02 jan 2009"
"25","california towhee","william r mason regional park","us-ca","02 jan 2009"
"26","california quail","william r mason regional park","us-ca","02 jan 2009"
"27","mourning dove","william r mason regional park","us-ca","02 jan 2009"
"28","bewick&#8217;s wren","william r mason regional park","us-ca","02 jan 2009"
"29","wrentit","william r mason regional park","us-ca","02 jan 2009"
"30","greater roadrunner","william r mason regional park","us-ca","02 jan 2009"
"31","great egret","william r mason regional park","us-ca","02 jan 2009"
"32","golden-crowned sparrow","william r mason regional park","us-ca","02 jan 2009"
"33","nuttall&#8217;s woodpecker","william r mason regional park","us-ca","02 jan 2009"
"34","pied-billed grebe","william r mason regional park","us-ca","02 jan 2009"
"35","ruby-crowned kinglet","william r mason regional park","us-ca","02 jan 2009"
"36","say&#8217;s phoebe","william r mason regional park","us-ca","02 jan 2009"
"37","spotted towhee","william r mason regional park","us-ca","02 jan 2009"
"38","turkey vulture","william r mason regional park","us-ca","02 jan 2009"
"39","european starling","william r mason regional park","us-ca","02 jan 2009"
"40","cedar waxwing","william r mason regional park","us-ca","02 jan 2009"
"41","red-tailed hawk","william r mason regional park","us-ca","02 jan 2009"
"42","bullock&#8217;s oriole","william r mason regional park","us-ca","02 jan 2009"
"43","western bluebird","william r mason regional park","us-ca","02 jan 2009"
"44","lesser goldfinch","william r mason regional park","us-ca","02 jan 2009"
"45","northern flicker","william r mason regional park","us-ca","02 jan 2009"
"46","common yellowthroat","william r mason regional park","us-ca","02 jan 2009"
"47","hermit thrush","william r mason regional park","us-ca","02 jan 2009"
"48","cassin&#8217;s kingbird","north lake","us-ca","02 jan 2009"
"49","bufflehead","north lake","us-ca","02 jan 2009"
"50","brewer&#8217;s blackbird","north lake","us-ca","02 jan 2009"
