"Trade name","Active ingredients","Pharmaceutical company"
"Midchlor","Acetaminophen; Dichloralphenazone; Isometheptene Mucate","Watson Pharmaceuticals"
"Minocycline","Minocycline Hydrochloride","Watson Pharmaceuticals"
"Minoxidil","Minoxidil","Watson Pharmaceuticals"
"Mirtazapine","Mirtazapine","Watson Pharmaceuticals"
"Morphine","Morphine Sulfate","Watson Pharmaceuticals"
"Muscle Rub","Menthol; Methyl Salicylate","Watson Pharmaceuticals"
"Nabumetone","Nabumetone","Watson Pharmaceuticals"
"Nalidixic Acid","Nalidixic Acid","Watson Pharmaceuticals"
"Nandrolone","Nandrolone Decanoate","Watson Pharmaceuticals"
"Naproxen","Naproxen Sodium","Watson Pharmaceuticals"
