"Country","Area (square km)","Population","Population Density (per square km)","GDP per capita ($ in PPP terms)"
"UK","244820","59778002","244","25300"
"Sweden","449964","8876744","19.7","25400"
"Belgium","30510","10274595","337","29000"
"USA","9629091","280562589","29.1","36300"
"Switzerland","41290","7301994","177","31700"
"France","547030","59765983","109","25700"
"Japan","377835","126974628","336","28000"
"Singapore","692.7","4452732","6428","24700"
"Germany","357021","83251851","233","26600"
"Ireland","70280","3883159","55.3","28500"
