"COUNTRY","CURRENCY","ABREVIATION","SUB-CURRENCY"
"Kampuchea","see Cambodia","&nbsp;","&nbsp;"
"Kazakhstan","tenge","(n/a)","100 tiyn"
"Kenya","shilling","KSh","100 cents"
"Kiribati","Australian dollar (See Australia)","&nbsp;","&nbsp;"
"Korea North","won","Wn","100 chon"
"Korea South","won","W","100 jeon or chon"
"Kuwait","dinar","KD","1000 fils"
"Kyrgyzstan","som","&nbsp;","100 tyyn"
"Laos","new kip","KN","100 at"
"Latvia","lat","Ls","100 santims"
"Lebanon","pound or livre","L","100 piastres"
"Lesotho","loti pl. maloti","L pl. M","100 lisente"
"Liberia","dollar","$","100 cents"
"Libya","dinar","LD","1000 dirhams"
"Liechtenstein","Swiss franc (See Switzerland)","&nbsp;","&nbsp;"
"Lithuania","litas pl. litai","&nbsp;","100 centu"
"Luxembourg","see European Union","&nbsp;","&nbsp;"
"Macao (Macau)","pataca","P","100 avos"
"Macedonia","denar","MKD","100 deni"
"Madagascar","ariayry = 5 francs","FMG","1 franc = 100 centimes"
"Malawi","kwacha","MK","100 tambala"
"Malaysia","ringgit","RM","100 sen"
"Maldives","rufiyaa","Rf","100 lari"
"Mali","franc","CFAF","100 centimes"
"Malta","lira pl. liri","Lm","100 cents"
"Martinique","French franc (See France)","&nbsp;","&nbsp;"
"Mauritania","ouguiya","UM","5 khoums"
"Mauritius","rupee","Mau Rs","100 cents"
"Mexico","nuevo peso","Mex$","100 centavos"
"Micronesia","see United States","&nbsp;","&nbsp;"
"Midway Islands","see United States","&nbsp;","&nbsp;"
"Moldova","leu (pl. lei)","(n/a)","(n/a)"
"Monaco","French franc (See France)","&nbsp;","&nbsp;"
"Mongolia","tugrik (tughrik?)","Tug","100 mongos"
"Montserrat","dollar","EC$","100 cents"
"Morocco","dirham","DH","100 centimes"
"Mozambique","metical","Mt","100 centavos"
"Myanmar","kyat","K","100 pyas"
"Namibia","dollar","N$","100 cents"
"Nauru","Australian dollar (See Australia)","&nbsp;","&nbsp;"
"Nepal","rupee","NRs","100 paise"
"Netherlands","see European Union","&nbsp;","&nbsp;"
"Netherlands Antilles","guilder (a.k.a. florin or gulden)","Ant.f. or NAf.","100 cents"
"New Caledonia","franc","CFPF","100 centimes"
"New Zealand","dollar","NZ$","100 cents"
"Nicaragua","gold cordoba","C$","100 centavos"
"Niger","franc","CFAF","100 centimes"
"Nigeria","naira","double-dashed N","100 kobo"
"Niue","see New Zealand","&nbsp;","&nbsp;"
"Norfolk Island","see Australia","&nbsp;","&nbsp;"
"Norway","krone (pl. kroner)","NKr","100 ?re"
