tableId,index,hasProperty,propertyUri,username
82484302_3_3744533925446753851.csv,1,False,rdfs:label,mroeder
82484302_3_3744533925446753851.csv,0,False,dbpedia-owl:language,mroeder
82484302_3_3744533925446753851.csv,2,False,dbpedia-owl:location,mroeder
82484302_3_3744533925446753851.csv,3,False,dbpedia-owl:reference,mroeder
82484302_3_3744533925446753851.csv,4,False,rdfs:comment,mroeder
75028563_1_8693885428421840586.csv,1,False,rdf:type,mroeder
75028563_1_8693885428421840586.csv,2,False,dbpedia-owl:assets,mroeder
75028563_1_8693885428421840586.csv,3,False,dbpedia-owl:subsidiary,mroeder
86627271_6_2239821927452848323.csv,2,False,dbpedia-owl:areaTotal,mroeder
86627271_6_2239821927452848323.csv,1,False,dbpedia-owl:surfaceArea,mroeder
86627271_6_2239821927452848323.csv,3,False,dbpedia-owl:altitude,mroeder
13719111_1_5719401842463579519.csv,1,False,dbp:binomial,mroeder
13719111_1_5719401842463579519.csv,2,True,,mroeder
26310680_0_5150772059999313798.csv,1,False,dbpedia-owl:currency,mroeder
26310680_0_5150772059999313798.csv,2,True,,mroeder
26310680_0_5150772059999313798.csv,3,True,,mroeder
26310680_0_5150772059999313798.csv,1,False,dbpedia-owl:currency,Gezim
26310680_0_5150772059999313798.csv,2,False,dbpedia-owl:code,Gezim
86627271_6_2239821927452848323.csv,2,False,dbpedia-owl:areaTotal,Gezim
86627271_6_2239821927452848323.csv,1,False,dbpedia-owl:area,Gezim
86627271_6_2239821927452848323.csv,3,False,dbpedia-owl:altitude,Gezim
93162865_0_4661380442777459291.csv,3,False,dbpedia-owl:country,mroeder
93162865_0_4661380442777459291.csv,2,False,dbpedia-owl:location,mroeder
15888487_0_6601674255986901010.csv,5,False,dbpedia-owl:naacpImageAward,Gezim
15888487_0_6601674255986901010.csv,1,False,dbpedia-owl:livingPlace,Gezim
15888487_0_6601674255986901010.csv,2,False,dbpedia-owl:weight,Gezim
15888487_0_6601674255986901010.csv,3,False,dbpedia-owl:aSide,Gezim
15888487_0_6601674255986901010.csv,4,True,,Gezim
32156062_0_5056375375263102264.csv,0,False,dbp:genus,mroeder
32156062_0_5056375375263102264.csv,2,False,rdf:label,mroeder
32156062_0_5056375375263102264.csv,3,True,,mroeder
32156062_0_5056375375263102264.csv,4,True,,mroeder
82484302_3_3744533925446753851.csv,0,False,dbpedia-owl:language,Gezim
