"label","Geburtsort","birth place"
"Florian Opahle","http://dbpedia.org/resource/Rosenheim","Rosenheim, Upper Bavaria, Germany"
"Flyer (wrestler)","http://dbpedia.org/resource/Monclova","http://dbpedia.org/resource/Monclova"
"Fola Daniel Adelesi","http://dbpedia.org/resource/Lagos_State","http://dbpedia.org/resource/Lagos_State"
"Folkenstal","http://dbpedia.org/resource/Switzerland","Switzerland"
"France D'Amour","",""
"Francesca Cipriani","http://dbpedia.org/resource/Guayas_Province","http://dbpedia.org/resource/Guayas_Province"
"Francescantonio Nolè","http://dbpedia.org/resource/Potenza","http://dbpedia.org/resource/Potenza"
"Francesco Maria Scala","","http://dbpedia.org/resource/Italy"
"Francesco Piemontesi","http://dbpedia.org/resource/Locarno",""
"Frank De Wulf","",""
"Frank Fu","http://dbpedia.org/resource/Inner_Mongolia",""
"Frank Lisciandro","",""
"Frank Wall (Australian politician)","",""
"Frank and John Craighead","",""
"Frankie Thomas (cyclist)","http://dbpedia.org/resource/Bendigo","Bendigo, Australia"
"Franklin Loufrani","",""
"Frans Mohede","http://dbpedia.org/resource/Jakarta","http://dbpedia.org/resource/Jakarta"
"Fred Bass (Strand Bookstore)","",""
"Freddie Joe Steinmark","",""
"Frederick Erickson","",""
