"blank1 info sec","Wikipage page ID","Wikipage revision ID","area code","Link from a Wikipage to an external page","area code type","label"
"1.0807","47527197","677779869","91","http://Samastipur.bih.nic.in/","Telephone code","Kancha"
"","45369295","675440917","","http://bardhaman.gov.in/","","Kandorsona"
"","47091811","682625632","","http://www.kanyakumari.tn.nic.in","","Karavilai"
"","47059761","676359262","","http://www.archaeology.gov.lk","","Kasagala Museum"
"","47532977","676218754","","http://www.yucatan.gob.mx/estado/municipios/31101a.htm","","Kaua (municipio)"
"","47499033","680132340","","http://www.kellerwald.de/","","Nationalpark Kellerwald-Edersee"
"","45616442","654179324","","http://howrah.gov.in/","","Keshabpur"
"","47544068","676413608","","http://www.yucatan.gob.mx/estado/municipios/31101a.htm","","Kinchil (municipio)"
"","47291178","672327837","","http://www.kingtonmuseum.co.uk","","Kington Museum"
"","47144370","671473374","","http://www.kirchensur.de/","","Kirchensur"
"","47148693","","","","","Kivistö"
"","45624034","656151064","","","","木沢記念病院"
"","47408664","","","","","Кобринская узкоколейная железная дорога"
"","47287253","","","","","Конецгорская узкоколейная железная дорога"
"","47544399","676417690","","http://www.yucatan.gob.mx/estado/municipios/31101a.htm","","Kopomá (municipio)"
"","47061883","668627452","","http://сыктывкар.рф/administration/administratsiya-pgt-krasnozatonskij","","Krasnozatonsky"
"","","","","","","Kruizenga Art Museum"
"","45348230","681277618","","http://1ua.com.ua/c146567","","Kulczyce"
"","47609197","681346045","","http://uplegisassembly.gov.in/default.htm","","Kundarki (Assembly constituency)"
"","47565732","676954267","","http://www.aberdeenwa.gov/parks-recreation/parks-homepage/","","Kurt Cobain Memorial Park"
