"label","Wikipage page ID","Wikipage revision ID"
"IZA World of Labor","46361579","683398478"
"I Went for a Walk","47039072","668179297"
"Idényt","",""
"If You Want to Walk on Water, You've Got to Get Out of the Boat","",""
"Il Borghese","",""
"India Currents","46244903","674542240"
"Inquirer Bandera","47681656","681518314"
"Intellectual Property and Technology Forum","47955481","683347850"
"International Health (journal)","",""
"International Journal of Clinical Practice","47321303",""
"International Journal of Intelligence and CounterIntelligence","",""
"International Journal of Modelling and Simulation","47794187",""
"International Socialism","",""
"Interventional Neuroradiology","",""
"Intervirology","46624596",""
"Into the River","",""
"Iosco County News-Herald","46801148","664067424"
"Iraqi National Journal of Chemistry","48016143","683926649"
"Journal of Acupuncture and Meridian Studies","46584884",""
"Journal of Addiction Medicine","",""
