"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://www.abdalimall.com","Abdali Mall","683306980","47589896"
"http://adelaidefilmfestival.org/affif/","Adelaide Film Festival Investment Fund","676001319","45366999"
"http://indexmedicus.afro.who.int/","Index Medicus africain","654480538","45388878"
"http://www.yucatan.gob.mx/estado/municipios/31101a.htm","Akil (municipio)","675493004","47473351"
"http://www2.erie.gov/parks/index.php?q=akron-falls","Akron Falls Park","650557216","45551258"
"http://www.khawarizmiobs.com/","Al-Khawarizmi Astronomy Complex","670052054","45408495"
"","All Saints' Church, Four Oaks","653720575","45568035"
"","All Saints Church, Twickenham","676114267","47088151"
"","Almonry Museum and Heritage Centre","671609447","45304107"
"","Amsterdam Centre for Architecture (ARCAM)","683285802","47610935"
"http://www.angelopolispuebla.com.mx","Centro Comercial Angelópolis","683979307","45474430"
"","Anuradhapura Museum","673208563","47138227"
"","Archaeological Museum, Vavuniya","672016150","47269414"
"","Arizona Inn","",""
"","Asia Town (restaurant)","",""
"","Asian Institute of Medical Sciences","676972122","47514324"
"http://athensbelprerailtrail.org","Athens-Belpre Rail-Trail","681095369","47059070"
"http://www.kollam.nic.in","Ayathil","676950554","45349392"
"http://badmintonasia.org/who-we-are/member-associations/south-asia/india/","Babu Banarasi Das Indoor Stadium","676306667","47530012"
"http://vaishali.bih.nic.in/","Bagmusha","683134010","47485676"
