"Geburtsort","birth place","label","Geburtsdatum"
"http://dbpedia.org/resource/Toronto","http://dbpedia.org/resource/Toronto","Charlotte Hegele","1990-11-12"
"","","Chase Iron Eyes",""
"","","Chase Walker","1998-08-16"
"http://dbpedia.org/resource/San_Francisco","http://dbpedia.org/resource/San_Francisco","Chayah Miranda",""
"http://dbpedia.org/resource/St._Louis","http://dbpedia.org/resource/St._Louis","Cheneta Jones",""
"","","Cheryl Youakim","1969-05-29"
"http://dbpedia.org/resource/Colombo","http://dbpedia.org/resource/Colombo","Chevaan Daniel","1978-05-11"
"http://dbpedia.org/resource/Akure","Akure, Nigeria","Chigozie Obioma",""
"http://dbpedia.org/resource/London,_Ontario","","Chokeules",""
"http://dbpedia.org/resource/Dartford","Dartford, Kent, England","Chris Dangerfield (comedian)","1972-05-06"
"http://dbpedia.org/resource/Montreal","Montreal, Canada","Chris Dorland",""
"http://dbpedia.org/resource/Glasgow","http://dbpedia.org/resource/Glasgow","Chris Gayne",""
"http://dbpedia.org/resource/County_Durham","","Chris Harrison (photographer)",""
"http://dbpedia.org/resource/Norway","http://dbpedia.org/resource/Norway","Chris Holsten",""
"","","Chris Larsen",""
"","","Chris Law (politician)","1969-10-21"
"","","Chris McClarney","1979-11-30"
"http://dbpedia.org/resource/Tokyo","Tokyo, Japan","クリス・ペプラー","1957-10-22"
"http://dbpedia.org/resource/Trondheim","Trondheim, Norway","Chris Rynning","1967-08-14"
"http://dbpedia.org/resource/Arlington,_Iowa","","Chris Soules","1981-11-06"
