"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"681364206","Code the Future","47667980","http://www.codefuture.org"
"657145875","Coffine Gurunaru","46424235","http://www.coffine.co.kr/"
"","Cofix","",""
"","College of Applied Science Malappuram","",""
"","College of Home Economics, Dhaka","45653388",""
"683895051","College of Information Technology and Engineering","47793314",""
"","College of Interdisciplinary Studies","46452614",""
"","College of the Immaculate Conception (Cabanatuan)","",""
"","Collegium Charter School","",""
"","Collingwood Area School","",""
"679828706","Selección de fútbol sub-15 de Colombia","47656703",""
"678128418","Selección femenina de rugby 7 de Colombia","46917280","http://fecorugby.co/FCR/"
"","Colombia women's national under-17 football team","",""
"","Color-code (band)","",""
"","Colorado State University Mountain Campus","",""
"682423857","Combis","46459306","http://www.combis.hr/en"
"673610963","Come What May (band)","47372099",""
"668295988","Come and Rest","46903397",""
"683900340","Comilla Victorians","47941926",""
"683793476","Commitment, Renewal and Order","47745716","http://creo.org.gt/"
