"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"683221679","47103210","http://medit.lutheran.hu/sites/medit2.lutheran.hu/files/medit/kossuth_es_az_egyhazak.pdf","Journey in North America"
"680515891","47663486","http://www.goodreads.com/book/show/13455522","Journey to Karabakh"
"681271677","47678102","","Jugari Cross"
"671755573","47118795","","Karabakh Diary"
"","","","Karachi, You're Killing Me!"
"681271685","47706366","","Karisiryana"
"","47578508","","Key to the Door (novel)"
"","47726900","","Kill Chain: Drones and the Rise of High-Tech Assassins"
"679057108","47126875","","Kitty Carstairs"
"","47576613","","Knocking on Heaven’s Door: How Physics and Scientific Thinking Illuminate the Universe and the Modern World"
"678794358","47374622","","Knowledge and Politics"
"","","","L'Audace"
"","","","L'Enchanteur (Barjavel)"
"683398731","47079903","","LAPD '53"
"673744693","47373718","","La Passió d'Esparreguera"
"680174667","47756780","","La cuestión argentina"
"681077251","47696929","","Leaves from Australian Forests"
"669104389","47104105","","Les Bêtises (roman)"
"682112870","47891461","","Les Voleurs de beauté"
"680351557","47774261","https://books.google.co.jp/books/about/Letters_From_Burma.html?id=v56FNzj2o_wC&redir_esc=y","Letters from Burma"
