"label","birth place","Geburtsdatum","Geburtsort"
"Frans Mohede","http://dbpedia.org/resource/Jakarta","0006","http://dbpedia.org/resource/Jakarta"
"Fred Bass (Strand Bookstore)","","1928-06-28",""
"Freddie Joe Steinmark","","",""
"Frederick Erickson","","",""
"Frederick T. Attenborough","","",""
"Frida Ånnevik","","1984-06-18",""
"Fulufhelo Nelwamondo","http://dbpedia.org/resource/Venda","","http://dbpedia.org/resource/Venda"
"矢倉楓子","","1997-02-24","http://dbpedia.org/resource/Osaka_Prefecture"
"Gabby Abularach","","",""
"Gabriel Vicéns","","1988-03-16",""
"Gail Bell","Sydney, NSW","1950-08-02",""
"松本岳","Yatsuo, Toyama, Toyama Prefecture, Japan","1993-04-08","http://dbpedia.org/resource/Toyama_Prefecture"
"佐野岳","http://dbpedia.org/resource/Aichi_Prefecture","1992-04-03","http://dbpedia.org/resource/Aichi_Prefecture"
"Gareth Allen","","1988-09-09",""
"Garrison W. Wynn","","1961-07-18",""
"Garry Faif","","1942-06-12",""
"Gary Glenn","","",""
"Gayatri Sankaran","Samalkot, Andhra Pradesh, India","",""
"Gazi Nafis Ahmed","http://dbpedia.org/resource/Dhaka_Division","1982-11-21","http://dbpedia.org/resource/Dhaka_Division"
"Ged Doherty","Manchester, England","",""
