"Geburtsdatum","birth place","Geburtsort","label"
"1967-08-01","http://dbpedia.org/resource/Kansas_City,_Kansas","http://dbpedia.org/resource/Kansas_City,_Kansas","Brian Jay Jones (biographer)"
"","","","Brigitte DeMeyer"
"","Toronto, Ontario, Canada","http://dbpedia.org/resource/Toronto","Brigitte Zarie"
"1980-11-02","Orange County, California, United States","http://dbpedia.org/resource/Orange_County,_California","Brittany Ishibashi"
"","Bellbrae, Australia","http://dbpedia.org/resource/Bellbrae,_Victoria","Brooke Davis (writer)"
"1996-03-08","http://dbpedia.org/resource/Dagsboro,_Delaware","http://dbpedia.org/resource/Dagsboro,_Delaware","Brooke Mitchell"
"1952-02-15","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Brooke de Lench"
"","","","Bruce Chapman (Australian economist)"
"1995-06-13","Jaraguá do Sul, Brazil","http://dbpedia.org/resource/Jaraguá_do_Sul","Bruno Antonio dos Santos"
"1991-03-09","Criciúma, Brazil","http://dbpedia.org/resource/Criciúma","Bruno Brigido"
"","http://dbpedia.org/resource/Danville,_Illinois","http://dbpedia.org/resource/Danville,_Illinois","Bryan Andrew Wilson"
"","","","Bud Otis"
"","","","Buddy Goode"
"1984-08-03","","","Мэйер, Банни"
"","http://dbpedia.org/resource/Tórshavn","http://dbpedia.org/resource/Tórshavn","Bárður Hansen"
"","","","C-Murder"
"","","http://dbpedia.org/resource/Germany","C.K. Morgan"
"","","","C. Kenneth Waters"
"","","","CC Barber"
"","http://dbpedia.org/resource/Marlow,_Oklahoma","http://dbpedia.org/resource/Marlow,_Oklahoma","Cady Groves"
