"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Bílá u Českého Dubu","663191078","http://www.ou-bila.cz/","46748494"
"Cacalchén (municipio)","675411223","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","46927215"
"Cardinals Field","660240036","","46574156"
"Casa das Rosas","672307679","","46932541"
"Cascina Sant'Ambrogio","683649185","","47833941"
"Case Medical Centre","","",""
"Cathedral of the Blessed Virgin Mary, Hamilton","","",""
"Cathedral of the Holy Spirit, Palmerston North","","",""
"CentralPlaza WestGate","","",""
"Central Australian Aviation Museum","673929277","http://centralaustralianaviationmuseum.com/","47372628"
"Challenger Columbia Stadium","675392202","http://www.ccisdchallengercolumbia.com/home.html","47350051"
"Chandausi (Assembly constituency)","681757644","http://uplegisassembly.gov.in/default.htm","47727259"
"Chapab (municipio)","675413360","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","46648879"
"Chapitala Union Parishad","667629897","http://www.bangladesh.gov.bd/maps/images/comilla/Muradnagar.gif","46286325"
"Charles B. Wang Community Health Center","670156910","","46243049"
"Chaumuha Tehsil","681861503","http://tehsildivas.up.nic.in/tehdiv/default.aspx","47686573"
"Chelin (Suisse)","674905268","http://lens.ch","46838225"
"Chester County Historical Society","","","46273660"
"Chhatrish Ganda","683604092","http://bardhaman.gov.in/","47802100"
"Chicxulub Pueblo (municipio)","675408274","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","46894623"
