"Wikipage revision ID","label","Wikipage page ID"
"682919992","Metropolitanstadt Venedig","46703064"
"","مسرح مايكروسوفت",""
"668539137","Miller Chapel","46637787"
"682328579","Milwaukee Bucks Arena","46354257"
"672653089","Mingana Collection","47308641"
"654387418","Moat Theatre","46196318"
"683654997","Moianès","46419134"
"","Monte Verdi Plantation","46318359"
"674189234","Moongapara","47384520"
"","Moose's Tooth Pub and Pizzeria",""
"682032458","Moose Deer Point First Nation","46881519"
"680544261","Moradabad Rural (Assembly constituency)","47727426"
"663450029","Morsum","46186993"
"678323729","Motul (municipio)","46877473"
"661638624","Mount Pierrway","46652731"
"651387167","Munboksan","45668119"
"","Municipality of Thessaloniki",""
"663450413","Munkmarsch","46186999"
"675346234","Munyonyo Martyrs Shrine","47393833"
"681544394","Murarisha","47011858"
