"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"677034514","47404290","http://www.allinmag.com/","All In Magazine"
"","","","Amazon Watershed"
"","47309914","","An Evening with Lucian Freud"
"672834481","47234556","","Anchu (Book)"
"676631309","47437032","","Another Day (2015)"
"","","","Antonio and David"
"","","","Artistic Japan"
"676557194","47535192","","Come Dio comanda (romanzo)"
"682703361","47286488","","Atom: An Odyssey from the Big Bang to Life on Earth...and Beyond"
"672340870","47263986","","Becoming Jimi Hendrix"
"675815244","47505990","","Beit Mikra"
"676927943","47230959","http://yourekilling.us/wp-content/uploads/2015/03/black-ice-book-cover.jpg","Black Ice (book)"
"683970625","47938154","","Black Scorpion: The Tyrant Reborn"
"671369411","47217385","","Blackwattle Creek"
"674547937","47215835","","Blood (Birch novel)"
"677925356","47148191","","Book of Numbers (novel)"
"674916532","47446930","","Bridging the Galaxies"
"676094408","47182034","http://www.moi.gov.mm/ppe/?q=books/pyantan","Burma Gazette"
"","47486865","","Caesar (Massie novel)"
"680191247","47158970","","Schilf im Wind"
