"label","Geburtsort","birth place"
"Amanda Zahui B.","http://dbpedia.org/resource/Stockholm","http://dbpedia.org/resource/Stockholm"
"Amane Okayama","http://dbpedia.org/resource/Tokyo","Tokyo, Japan"
"Amarachi","http://dbpedia.org/resource/Delta_State","Delta State, Nigeria"
"Amarilli Nizza","",""
"Amber Kirk-Ford","",""
"Ambroise Abdo","",""
"Amir Alexander","http://dbpedia.org/resource/Rehovot","http://dbpedia.org/resource/Rehovot"
"Amir Nojan","http://dbpedia.org/resource/Shiraz","Shiraz, Iran"
"余澎杉","","Singapore"
"Amrit Maghera","",""
"Amy Williams (Neighbours)","",""
"Analyn Barro","http://dbpedia.org/resource/Leyte","Bacolod City"
"Ananda Shankar Jayant","http://dbpedia.org/resource/Chennai","http://dbpedia.org/resource/Chennai"
"Anar Alizada","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/resource/Azerbaijan"
"Anastasia Lin","",""
"Anders Hvenare","",""
"Anderson East","http://dbpedia.org/resource/Alabama",""
"Andra Day","",""
"Аветисян, Андраник Оганнесович","",""
"Andre Foxxe","",""
