"label","Geburtsort"
"Bane Jelic","http://dbpedia.org/resource/Belgrade"
"Baptiste Lecaplain","http://dbpedia.org/resource/Manche"
"Barbara Clare Foley",""
"Barbara Earl Thomas","http://dbpedia.org/resource/Seattle"
"Barbara Ljiljak","http://dbpedia.org/resource/Split-Dalmatia_County"
"Barbara Magnolfi","http://dbpedia.org/resource/Rennes"
"Barbara Stauffacher Solomon",""
"Barbara Tabita","http://dbpedia.org/resource/Augusta,_Sicily"
"Barrett Martineau","http://dbpedia.org/resource/Alberta"
"Barry Lancet","http://dbpedia.org/resource/Ohio"
"Basim Elkarra",""
"Bayyinah Bello",""
"Beau Vallis (singer)","http://dbpedia.org/resource/United_States"
"Becca Bradley",""
"Behzad Leito","http://dbpedia.org/resource/Tehran"
"Bellamy Hunt",""
"Ben Caplan (Musicien)",""
"Ben Howlett",""
"Ben McIntosh","http://dbpedia.org/resource/Coquitlam"
"Ben Murray-Bruce","http://dbpedia.org/resource/Lagos"
