"Wikipage page ID","Wikipage revision ID","label"
"26215576","667869814","大袋駅"
"","","Cathedral of the Blessed Virgin Mary, Hamilton"
"","","Distrito Escolar Independiente Cypress-Fairbanks"
"","","Hus Gallery"
"","","KAOK"
"","","KHLA"
"","","KQLK"
"","","KYKZ"
"","","Mansfield Lahm Air National Guard Base"
"","","O-Train"
"","","Národní park Podyjí"
"","","The Quays Newry"
"","","University of Santo Tomas Hospital"
"","","Deal Casino"
"45467748","","Forman Mills"
"","","KEGY"
"","","KJOI-LP"
"","","KSVA"
"45578275","","Porto di Civitavecchia"
"","","WRLL"
