"label","Wikipage page ID"
"JydskeVestkysten","45360844"
"Keskilaakso","47642198"
"Kill City: Lower East Side Squatters 1992–2000",""
"Komori-san Can't Decline","47085760"
"La Lettre B","47047620"
"La Verdad (España)",""
"Le Nouvel Économiste",""
"Local iQ",""
"Mai Nap",""
"まんがタイムオリジナル",""
"Marion County Herald","47170353"
"Materials Horizons",""
"Medical Science Monitor","47404009"
"Memórias do Instituto Oswaldo Cruz",""
"Michigan Journal of Environmental and Administrative Law","47449212"
"ミリオンドール",""
"南鎌倉高校女子自転車部","47486158"
"Mouseheart: Book One",""
"無職轉生～到了異世界就拿出真本事～","45397527"
"Myanmar Medical Journal",""
