"Geburtsort","label","Geburtsdatum","birth place"
"http://dbpedia.org/resource/New_Brunswick","Gisèle Lagacé","1970-06-16","http://dbpedia.org/resource/New_Brunswick"
"http://dbpedia.org/resource/Bologna","Giulio Gallazzi","0008","http://dbpedia.org/resource/Bologna"
"http://dbpedia.org/resource/Partinico","Giuseppe Casarrubea","",""
"","Giuseppe Modugno","1960",""
"","Gopal Prasad Vyas","","India"
"","Goran Ješić","1974-08-03",""
"http://dbpedia.org/resource/Tacoma,_Washington","Gordon Naccarato","","http://dbpedia.org/resource/Tacoma,_Washington"
"http://dbpedia.org/resource/England","Gorilla Chilla","",""
"","Grace Randolph","",""
"http://dbpedia.org/resource/Jackson,_Mississippi","Grady Champion","",""
"http://dbpedia.org/resource/St_Albans","Graham Kentsley","","St Albans, Hertfordshire, England"
"http://dbpedia.org/resource/Dallas","Gray Malin","","http://dbpedia.org/resource/Dallas"
"","Greg Barron","1946-06-14","Los Angeles"
"","Greg Clark","",""
"http://dbpedia.org/resource/Oregon","Griffon Ramsey","1980-04-23","http://dbpedia.org/resource/Oregon"
"http://dbpedia.org/resource/California","Groundislava","",""
"http://dbpedia.org/resource/Seoul","具聖潤","","http://dbpedia.org/resource/Seoul"
"http://dbpedia.org/resource/Geneva","Guillaume Barazzone","","http://dbpedia.org/resource/Geneva"
"","Gulab Raghunath Patil","1966-06-05","Paldhi, Jalgaon"
"","Guy Mamou-Mani","1957",""
