"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"668332594","http://aerochute.com.au","Aerochute International","46807139"
"","","After Platinum Records","46239081"
"683136465","http://www.ssi.gouv.fr/","Agence nationale de la sécurité des systèmes d'information","47947478"
"668993985","http://www.agentsmutual.co.uk/","Agents' Mutual Ltd","46755801"
"681361519","http://www.agnona.com/it/","Agnona","47312382"
"","","Agon Channel",""
"","","Institut supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage",""
"","","Ahange Arya","47686688"
"","","Ahmadu Ribadu College",""
"680719701","http://ainar-fund.com","Ainar","47796848"
"","","Airbitz",""
"","","Airship (band)","46971649"
"675993336","http://www.airstreamjets.com/","Airstream Jets","46775621"
"681952159","http://www.akherzapheer.com","Akher Zapheer","47784491"
"","","Akissforjersey","47034962"
"","","Aksu Anadolu Öğretmen Lisesi",""
"","","Al-Jamiatul Asaria Darul Hadees",""
"660536090","","Al Ameer English School, Ajman","46496920"
"680856655","","Al Habtoor Motors LLC","46811928"
"682824066","http://almadinatakaful.com/","Al Madina Takaful","47661355"
