"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Tinnum","663450187","http://www.gemeinde-sylt.de/","46187009"
"Tirey Hall","659171509","http://library.indstate.edu/archives/exhibits/architecture/TireyHall.htm","46510778"
"Tisselskog Church","678729113","","46581340"
"Tissot Arena","","",""
"Tixpéhual (municipio)","675408857","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","46900069"
"Tlachichila","682474164","http://tlachichila.com.mx","47914137"
"Tobin Center for the Performing Arts","672385350","http://www.tobincenter.org","46791586"
"Tolmács","655150628","http://www.tolmacs.hu/","45682458"
"Tom's Bar","679923831","http://www.tomsbar.de","47648011"
"Tony's Pizza Napoletana","","","47846906"
"Toronto Tool Library","","",""
"Tortilla Coast","","",""
"Tower Club at lebua","","",""
"Town Planning Authority Ground","679634855","","47725600"
"今治市伊東豊雄建築ミュージアム","","","46764667"
"Tren de los Pueblos Libres","663626216","","46207599"
"Trevões","666318227","http://www.trevoes.net","46855062"
"Tropical Ranch Botanical Garden","665055274","http://www.tropicalranchbotanicalgardens.com","46688868"
"Tualatin Hills Nature Park","682665212","http://www.thprd.org/parks-and-trails/detail/tualatin-hills-nature-park","47749359"
"Tuam Golf Club","680989438","http://www.tuamgolfclub.com","46882474"
