"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"662287699","46703052","http://www.rogozna.zory.pl/","Rogoźna (Żory)"
"","47720572","","Royal Automobile Museum"
"658375509","46204782","http://www.kyustendil.e-gov.bg/","Rusovo"
"680004386","47751552","http://www.ryecrofthall.co.uk/","Ryecroft Hall"
"683262778","47954383","http://www.sar.com.sa/","SAR Riyadh-Qurayyat Line"
"660011083","46565225","http://www.sfajacks.com/sports/w-softbl/sasu-w-softbl-body.html","SFA Softball Field"
"","","","Sadar Bazar Stadium"
"661934696","46679628","http://www.parks.wa.gov/576/Saddlebag-Island","Saddlebag Island State Park"
"668122531","46653702","http://www.pariwisatakaltim.com/informasi/museum-sadurengas","Sadurengas Museum"
"662610770","46298183","http://www.sncft.com.tn/fr/banlieue_sahel/presentation.html","مترو الساحل"
"","46571837","","Sai Baba Boulevard"
"663945375","46453770","http://www.saint-etienne.fr/culture/puits-couriot-parc-musee-mine","Saint-Etienne Mine Museum"
"","47364978","","Chiesa di San Bartolomeo (Brugherio)"
"676620796","46885693","","Saint Mary of the Assumption Catholic Church"
"661134924","46628836","http://sdvelodrome.com","San Diego Velodrome"
"678723211","47677301","http://www.munisanignacio.gob.pe","San Ignacio, Perú"
"","","","Santuario della Beata Vergine del Santo Rosario"
"","","","Sandwell Community History and Archives Service"
"677051039","46815636","","Sankarankovil, Tamil Nadu"
"674001273","47030685","http://www.bigisland.ca/home","Saug-a-Gaw-Sing 1, Ontario"
