"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Kiratpur_Sahib","Himanshi Khurana","http://dbpedia.org/resource/Kiratpur_Sahib"
"","Himari Noihara",""
"","Himika Akaneya","http://dbpedia.org/resource/Akita_Prefecture"
"Chiba Prefecture, Japan","Hirona Yamazaki","http://dbpedia.org/resource/Chiba_Prefecture"
"Hamura, Tokyo, Japan","登坂広臣","http://dbpedia.org/resource/Hamura,_Tokyo"
"Kesennuma, Miyagi, Japan","Hiroshi Ikushima","http://dbpedia.org/resource/Kesennuma,_Miyagi"
"","Hitomi Kaji","http://dbpedia.org/resource/Tokyo"
"","Hitoshi Okamura",""
"Halifax, West Yorkshire, England","Holly Walker-Lynch","http://dbpedia.org/resource/Halifax,_West_Yorkshire"
"","Homer Brightman",""
"http://dbpedia.org/resource/Tehran","Hossein Mortezaeian Abkenar","http://dbpedia.org/resource/Tehran"
"http://dbpedia.org/resource/Yerevan","Hovanes Margarian","http://dbpedia.org/resource/Yerevan"
"Pasadena, CA","Howard H. Pattee",""
"","Hrachya Melikyan",""
"","Hunter Siegel","http://dbpedia.org/resource/Ontario"
"http://dbpedia.org/resource/Bahrain","Hussain Jawad","http://dbpedia.org/resource/Bahrain"
"http://dbpedia.org/resource/New_York_City","Ian Reisner","http://dbpedia.org/resource/New_York_City"
"","Ibrahim AlHusseini",""
"","Igor Milić",""
"","Ihor Duts","http://dbpedia.org/resource/Nyzhankovychi"
