"label","Wikipage page ID"
"Journal of African Earth Sciences","47792900"
"Journal of Applied Microbiology","46273681"
"Journal of Business Research","46712925"
"Journal of Crohn’s and Colitis","47679293"
"Journal of Early Modern History","45629934"
"Journal of Environmental Law and Litigation","47348252"
"Journal of Human Hypertension","46626400"
"Journal of Integer Sequences","47666123"
"Journal of Middle East Women's Studies","47671530"
"Journal of Neuroimaging","46805438"
"Journal of Pharmacy Practice and Research","47043189"
"Journal of Physics and Chemistry of Solids",""
"Journal of Religion and Popular Culture",""
"Journal of Risk Research","46932177"
"Journal of Women's Health",""
"Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease","46571420"
"Juggalo: Insane Clown Posse, Their Fans, and the World They Made","46980328"
"Kapital (newspaper)","45712050"
"川の光",""
"Khirer Putul","47034533"
