"Geburtsdatum","label","birth place","Geburtsort"
"1967-09-25","Enrique Juan Medina Rodríguez","Santa Cruz de Tenerife, Spain","http://dbpedia.org/resource/Santa_Cruz_de_Tenerife"
"1948-08-12","Enrique Rottenberg",", Buenos Aires","http://dbpedia.org/resource/Buenos_Aires"
"1993-06-08","Enzo Knol","http://dbpedia.org/resource/Assen","http://dbpedia.org/resource/Assen"
"","Eric Joris","",""
"1971","Eric Minh Swenson","",""
"","Eric Ng","http://dbpedia.org/resource/Singapore","http://dbpedia.org/resource/Singapore"
"1934-06-08","Erik Jayme","Montreal","http://dbpedia.org/resource/Montreal"
"1985-09-22","Erin Marie Hogan","http://dbpedia.org/resource/St._Louis","http://dbpedia.org/resource/St._Louis"
"","Ernest Bainbridge","http://dbpedia.org/resource/Northcote,_Victoria","http://dbpedia.org/resource/Northcote,_Victoria"
"0018","Ernst Jansa","Prague, Bohemia","http://dbpedia.org/resource/Prague"
"","Ernst Simon Glaser","","http://dbpedia.org/resource/Sunnmøre"
"","Eshon Burgundy","http://dbpedia.org/resource/Abington_Township,_Montgomery_County,_Pennsylvania","http://dbpedia.org/resource/Abington_Township,_Montgomery_County,_Pennsylvania"
"","Esther Alder","Solothurn, Switzerland","http://dbpedia.org/resource/Solothurn"
"","Esther Anil","http://dbpedia.org/resource/Kerala","http://dbpedia.org/resource/Kerala"
"","Ethan Farmer","","http://dbpedia.org/resource/Illinois"
"","Etherwood","",""
"","Eugenio Bonivento","http://dbpedia.org/resource/Italy","http://dbpedia.org/resource/Italy"
"1963-06-13","Eva Kiedroňová","Třinec, Czech Republic","http://dbpedia.org/resource/Třinec"
"1987-06-16","Evan Neufeldt","http://dbpedia.org/resource/Saskatchewan","http://dbpedia.org/resource/Saskatchewan"
"","Evan Woolley","Calgary","http://dbpedia.org/resource/Calgary"
