"label","Wikipage page ID"
"The Chance of a Lifetime (novel)","47223484"
"The Children in Room E4: American Education on Trial",""
"The Clerkenwell Tales",""
"The Courier's New Bicycle","47397507"
"The Diggers Rest Hotel","47217263"
"The Divine Child","47407254"
"The Duel: Pakistan on the Flight Path of American Power",""
"The Excursion to Tilsit",""
"The Exonerated (play)","47257731"
"The Extreme Centre: A Warning",""
"The Fire People",""
"The Flight of the Horse","47438161"
"The Gangster's Life","47241167"
"The Girl in the Road","47513434"
"The Golden Age (Joan London novel)","47148156"
"The Heir","47223622"
"The House Across the Street (novel)","47519629"
"The Hunting Hypothesis","47256663"
"The ITT Wars",""
"笑ゥせぇるすまん","47524984"
