"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"47371998","http://www.aukom.info/english","683518767","AUKOM"
"","","","A Bullet For Pretty Boy"
"","","","A Hill to Die Upon"
"","","","A Minor Revolution"
"","","","A Past Unknown"
"46423867","http://www.twosome.co.kr/","682837776","A Twosome Place"
"","","","Aalami Samay"
"47668016","","","Aarhus Academy"
"47672768","","","Aarhus Business College"
"47667218","","","Aarhus Educational Centre for Agriculture"
"47664452","","","Aarhus School of Marine and Technical Engineering"
"","","","Aastha Bhajan TV"
"46817430","","664472445","Abbey Rangers F.C."
"","","","Abigail's Ghost"
"46931585","http://www.adfd.ae/pages/default.aspx","669701976","Abu Dhabi Fund for Development"
"47661836","http://www.adnic.ae/en/","678445409","Abu Dhabi National Insurance Company"
"47004779","","680201007","Abu Dhabi Tourism & Culture Authority"
"46386048","http://www.abunayyanholding.com/en/","671938918","Abunayyan Holding"
"46608893","http://www.academicchess.com","662514871","Academic Chess"
"","","","Academy 360"
