"Wikipage page ID","features","label","Wikipage revision ID","lat d","lat m","Link from a Wikipage to an external page"
"47437290","Lakes, stalactites and stalagmites","Cave of the Lakes","675803746","38","2","http://www.kastriacave.gr/"
"47543648","","Celestún (municipio)","679543845","","","http://www.yucatan.gob.mx/estado/municipios/31101a.htm"
"47457023","","Cenotillo (municipio)","675496332","","","http://www.yucatan.gob.mx/estado/municipios/31101a.htm"
"45477942","","Center for PostNatural History","681927742","","",""
"","","Center for the History of Collecting","","","",""
"45368343","","Centre of Cultural Heritage","656233678","","","http://www.heritage.org.cy/"
"47536040","","CeresByen","678804295","","","http://ceresbyen.dk/"
"47473561","","Chacsinkín (municipio)","675666903","","","http://www.yucatan.gob.mx/estado/municipios/31101a.htm"
"47612399","","Chak Amru","677752782","","","http://barapindpk.blogspot.com"
"47188911","","Chankom (municipio)","675412689","","","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#"
"","","Kaplica sióstr Klarysek w Bydgoszczy","","","",""
"47164838","","Chehalis–Centralia Airport","670335699","","","http://www.flycls.com/"
"47076146","","Cheonan Football Center","681063790","","","http://fc.cheonan.go.kr/new/index.asp"
"47189389","","Chichimilá (municipio)","675412907","","","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#"
"47189729","","Chikindzonot (municipio)","675412964","","","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#"
"45517173","","Christ Church, Quinton","650311198","","",""
"45472793","","Christ Church, Summerfield","683181393","","",""
"45472588","","Christ Church, Yardley Wood","","","",""
"47405714","","Chumayel (municipio)","675667545","","","http://www.yucatan.gob.mx/estado/municipios/31101a.htm"
"45457209","","Church of Our Lady and St Rose of Lima, Weoley Castle","655230649","","","http://www.strose.org.uk"
