"label","Geburtsort"
"Andy Wilmot","http://dbpedia.org/resource/Kent"
"Aneesh Upasana","http://dbpedia.org/resource/Nilgiris_district"
"Angela Crawley","http://dbpedia.org/resource/Hamilton,_South_Lanarkshire"
"Angela Nazar","http://dbpedia.org/resource/Amsterdam"
"Angella Nazarian","http://dbpedia.org/resource/Tehran"
"Angie Fisher","http://dbpedia.org/resource/Los_Angeles_County,_California"
"Ani Bezzerides",""
"Anita Fields","http://dbpedia.org/resource/Hominy,_Oklahoma"
"Anita Fuentes","http://dbpedia.org/resource/Boston"
"Ankur Warikoo","http://dbpedia.org/resource/India"
"Ann McGovern","http://dbpedia.org/resource/New_York_City"
"Anna Depenbusch",""
"Anna Kontula","http://dbpedia.org/resource/Pori"
"Anna Peterson","http://dbpedia.org/resource/Oregon"
"Anna Von Mertens",""
"Anne Berner","http://dbpedia.org/resource/Helsinki"
"Anne Denholm",""
"Anne Ishii",""
"Annette Beck-Sickinger",""
"Ansiba Hassan","http://dbpedia.org/resource/Kerala"
