"Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID","label"
"https://www.idigbio.org/about-idigbio/","666222854","46882967","IDigBio"
"http://ifinc.org/","666196200","46311584","Iglesia Filipina Independiente National Cathedral"
"","668599184","46329054","Ilana Goor Museum"
"http://www.kepcophilippines.com/","662593121","46569638","Ilijan Combined-Cycle Power Plant"
"http://www.innopolis.ru","670197361","46867293","Иннополис"
"http://integrisok.com","679213010","47705740","Integris Health"
"","","","International Buddhist Museum"
"http://www.ipswichcityunitingchurch.org.au/","671224806","46776904","Ipswich Central Mission"
"http://www.sr.indianrailways.gov.in/","656201303","46249087","Irugur Junction railway station"
"","","","Ispat Stadium"
"http://www.yongsan.go.kr/eng/","681604107","46930572","Itaewon-dong"
"http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","678627792","46896474","Ixil (municipio)"
"http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","675409549","46928901","Izamal (municipio)"
"http://jklmuseum.com/","683062701","47865024","JKL Museum of Telephony"
"http://www.jaxpl.org/jacksonville/index.asp","651753204","45692546","Jacksonville Public Library (Illinois)"
"http://www.janovicevpodjestedi.cz/","663527779","46748861","Janovice v Podještědí"
"","","","Jardin Tiki"
"http://www.jayashoppingcentre.my","682538671","47858662","Jaya Shopping Centre"
"","667770569","46971396","Apteka jezuicka w Grodnie"
"http://www.dausa.rajasthan.gov.in","658979064","46507441","Jhamarwada"
