"Wikipage page ID","Latitude","Wikipage revision ID","Link from a Wikipage to an external page","map caption","label","Longitude","map size"
"47737020","50.9326","679946593","http://www.schloss-weesenstein.de/en/home/","Location in Germany","Schloss Weesenstein","13.8594","220"
"","","","","","Secret Rocks Nature Reserve","",""
"46326634","","681130650","http://www.redland.qld.gov.au/RecreationFacilities/ManagementPlans/ConservationAreaPlans/Pages/SerpentineCrkRdCemetary.aspx","","Serpentine Creek Road Cemetery","",""
"46739325","","666259671","http://www.juntadaserra.pt/","","Serra de Santo António","",""
"46882806","","675408636","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","","Seyé (municipio)","",""
"47704221","","679187932","http://www.bangladesh.gov.bd/maps/images/rajshahi/shahbazpurunion.gif","","Shahbazpur Union","",""
"45709531","","","","","Sheboygan County Historical Museum","",""
"47377442","","682467256","http://www.sheffieldchurchofchrist.org.uk/","","Sheffield Church of Christ","",""
"47916859","","682522760","http://www.wallcentre.com/","","Sheraton Vancouver Wall Centre South Tower","",""
"","","","","","Silver Spring Library","",""
"46274551","","680676815","https://www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/sisters-islands-marine-park","","Sisters' Island Marine Park","",""
"46677559","","666694002","http://www.sofitel.com/gb/hotel-1295-sofitel-paris-le-faubourg/index.shtml","","Sofitel Paris Le Faubourg","",""
"47036086","","667926607","http://www.sokcho.gangwon.kr/hb/home/sub04_01_04","","Sokcho Stadium","",""
"47951670","","683271851","http://www.solacesabah.com","","Solace Sabah","",""
"46883096","","668725192","http://us.sunpower.com/utility-scale-solar-power-plants/solar-energy-projects/solar-star-projects/","","Solar Star","",""
"46784029","","673781563","https://data.qld.gov.au/dataset/the-queensland-heritage-register","","Soldiers' Memorial Hall, Ipswich","",""
"47676943","","","","","公立相馬総合病院","",""
"47992062","","683714456","","","South West Healthcare","",""
"47784951","","680532792","http://frsonline.org/","","Southend and District Reform Synagogue","",""
"","","","","","Southold Free Library","",""
