"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID","address"
"http://diamondnation.com","Diamond Nation","654848783","46291298","129"
"","Digvijay Stadium","","",""
"","Diraz Temple","","47046290",""
"","Dolphin Beach Resort","662220099","46618920",""
"http://www.dong.daegu.kr/","Dongchon","677915966","47344404",""
"","Dori Lal Agarawal Sports Stadium","","",""
"","Duff's Famous Wings","","",""
"http://w1.c1.rada.gov.ua/pls/z7503/A005?rdat1=01.05.2015&rf7571=21309","Duliby (obwód lwowski)","683520603","46582102",""
"","Dundee Central Mosque","","46690339",""
"http://www.redland.qld.gov.au/RecreationFacilities/Cemeteries/Pages/default.aspx","Dunwich Cemetery","671222736","46240052",""
"http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","Dzoncauich (municipio)","675411595","46927467",""
"http://www.tsrtconline.net/","ECIL Bus Station","662147525","46293568",""
"","Eastern Railway Divisional Stadium","","",""
"","Eatsa","682908493","47780087",""
"","Ebenezer Lutheran Church (Greensboro, North Carolina)","662615676","46677717",""
"","Eight-Point Gallery Cafe","","47992426",""
"http://www.erdemarchitects.com","Elazığ Education Campus","682259571","46998364",""
"","エマニュエル・アフリカン・メソジスト監督教会","","",""
"http://nairobi.usembassy.gov/","Embassy of the United States, Nairobi","657316128","45662293",""
"http://emmanuelbentley.yolasite.com","Emmanuel Church, Bentley","653894575","46250553",""
