"Geburtsort","Geburtsdatum","birth place","label"
"http://dbpedia.org/resource/Westover,_Maryland","1943-09-25","Westover, Maryland, USA","Earl S. Richardson"
"","","","Easy Mo Bee"
"http://dbpedia.org/resource/Środa_Śląska","","","Eberhard Gothein"
"http://dbpedia.org/resource/Cleveland","","http://dbpedia.org/resource/Cleveland","Ed Montgomery (musician)"
"http://dbpedia.org/resource/New_Jersey","","http://dbpedia.org/resource/New_Jersey","Ed Murphy"
"http://dbpedia.org/resource/Washington,_D.C.","1968-11-05","http://dbpedia.org/resource/Washington,_D.C.","Ed Potillo"
"","","","Ed Yong"
"http://dbpedia.org/resource/Pittsburgh","","Pittsburgh, Pennsylvania, United States","Eddie Barnz"
"http://dbpedia.org/resource/Tarrant_County,_Texas","","http://dbpedia.org/resource/Tarrant_County,_Texas","Eddie Kirkland (Christian musician)"
"http://dbpedia.org/resource/United_States","","","Eden Stiles"
"http://dbpedia.org/resource/Poland","1941-08-28","","Edgar Moron"
"http://dbpedia.org/resource/Valmiera","","","Edgars Briedis"
"http://dbpedia.org/resource/Jelgava","","","Edijs Jurēvics"
"http://dbpedia.org/resource/Perpignan","","Perpignan, France","Edith Crash"
"http://dbpedia.org/resource/Augsburg","","","Edmund Daser"
"","","","Григорян, Эдуард Григорьевич"
"http://dbpedia.org/resource/California","1949-06-17","Pomona, California, United States","Edward Colver"
"http://dbpedia.org/resource/Suffolk","1980","http://dbpedia.org/resource/Suffolk","Edward Kluz"
"","","http://dbpedia.org/resource/Carlyle,_Illinois","Edwin Ramsey"
"http://dbpedia.org/resource/United_States","","http://dbpedia.org/resource/United_States","Effie Brown"
