"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"46310360","St Andrews Church, Ormiston","http://www.anglicancleveland.org.au/","671224186"
"47678195","St Bartholomew’s Church, Clay Cross","http://www.claycross.org","679230531"
"46259448","St Clement's, King Square","","654411254"
"46635068","St Cuthbert's Church, York","","670394471"
"46702082","St Denys Anglican Church","https://data.qld.gov.au/dataset/the-queensland-heritage-register","672264860"
"46378459","St Edmund’s Church, Fenny Bentley","http://peakfive.org","678905075"
"46404069","St Francis Xavier Church, Goodna","http://www.stfrancisxavierparish.com/","671224211"
"47711647","St Giles' Church, Cambridge","","681902886"
"46629411","St Helen's Church, Stonegate, York","","670394456"
"46208059","St James' Church, Hill","","676372708"
"47385495","St James the Greater, Leicester","","673901355"
"46185644","St John's Church, Mundoolun","http://jimboombaanglican.webs.com/","671224218"
"","St John's Church, Silverdale","",""
"47979221","St John the Baptist's Church, Boughton","","683767651"
"46312605","St John the Baptist's Church, Winster","http://www.winsterchurch.org.uk","655324103"
"46809514","St Josephs Cathedral, Rockhampton","http://www.rok.catholic.net.au/st-josephs-cathedral.html","679827793"
"46329037","St Lawrence's Church, Eyam","http://www.eyam-church.org","655323905"
"47998376","St Lawrence's Church, Long Buckby","http://www.stlawrences.org.uk/","683894564"
"","St Leonard's Church, Streatham","",""
"47976624","St Levan’s Church, Porthpean","","683434153"
