"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"683337332","http://dice.fm","DICE FM","47901547"
"","","DIT School of Electrical & Electronic Engineering",""
"679906020","","DMM.com","46694519"
"675389665","https://dnsimple.com","DNSimple","46958786"
"","","DVS'33",""
"671618224","http://www.dwn.com.pk","DWN (Digital Wireless Network)","46877410"
"","","DXPM","46377293"
"678221197","","DXYQ","46179887"
"678160501","http://www.cmn.com","DZPA","45667710"
"678160677","http://www.radiomaria.ph/","DZRM-FM","45660140"
"","","Da-Ice",""
"682872729","","Daffodils Public School","47767854"
"683636568","http://www.damasko.de","Damasko","47710514"
"682918601","http://www.dsdambuster.com/","Dambuster Studios","47929225"
"","","Danish School of Media and Journalism",""
"","","Danube Private University","46565820"
"","","Darebin United",""
"","","Darshan 24",""
"","","Darwen Vale High School",""
"673113870","","Daum Kakao","46350092"
