"death place","birth place","label"
"Via Perugino, Milan, Italy","Milan, Italy","Gino Polli"
"","http://dbpedia.org/resource/Pozzallo","Giorgio Demetrio Gallaro"
"","Napoli, Italy","Giovanni Vignale"
"","","Girish Dattatray Mahajan"
"","http://dbpedia.org/resource/New_Brunswick","Gisèle Lagacé"
"","http://dbpedia.org/resource/Bologna","Giulio Gallazzi"
"Partinico, Italy","","Giuseppe Casarrubea"
"","","Giuseppe Modugno"
"India","India","Gopal Prasad Vyas"
"","","Goran Ješić"
"","http://dbpedia.org/resource/Tacoma,_Washington","Gordon Naccarato"
"","","Gorilla Chilla"
"","","Grace Randolph"
"","","Grady Champion"
"","St Albans, Hertfordshire, England","Graham Kentsley"
"","http://dbpedia.org/resource/Dallas","Gray Malin"
"","Los Angeles","Greg Barron"
"","","Greg Clark"
"","http://dbpedia.org/resource/Oregon","Griffon Ramsey"
"","","Groundislava"
