"Wikipage page ID","Wikipage revision ID","label"
"46291877","676978698","Texas Museum of Science and Technology"
"47727514","679910971","Thakurdwara (Assembly constituency)"
"","","The City Reliquary"
"46574245","674154145","The Deco"
"","","The Dutchmans Stern Conservation Park"
"46932098","675130251","The Geelong Club"
"47661889","678587373","The National Shooting Centre at Bisley"
"46874812","","The Power Station (art space)"
"","","The Quays Newry"
"45648257","682085223","The Quin Hotel"
"47816502","681099509","The Transportation Museum at Ystafell"
"","","The Westin Savannah Harbor Golf Resort & Spa"
"","","Theater am Hechtplatz"
"46333812","682948590","Theater am Neumarkt"
"46779721","675306551","Theatre Surjya"
"","","Theory (restaurant)"
"47994982","683894011","Thiruvambady Convention Centre, Thrissur"
"46726135","672021823","中国（天津）自由贸易试验区"
"47347897","673328842","Tidal Lagoon Swansea Bay"
"46896883","675408771","Timucuy (municipio)"
