"opened","Wikipage revision ID","label","owner","Wikipage page ID","Link from a Wikipage to an external page"
"2004","681430529","Banants Training Centre","http://dbpedia.org/resource/FC_Banants","46443829","http://www.fcbanants.am/?page=page&id=12&lang=am"
"","679954120","Baptist Church, Ipswich","","46669318","http://studio188.com.au/"
"","655823509","Baryliv","","46371650","http://1ua.com.ua/c25453"
"","661856002","Baseball Heaven","","46302125","http://baseballheavenli.com"
"","","Notre-Dame de Genève","","",""
"","680531743","Basivka","","47784824","http://1ua.com.ua/c25095"
"","674006283","Batchewana First Nation of Ojibways","","46819415","http://www.batchewana.ca/"
"","659815436","Bearkat Softball Complex","","46542595","http://www.gobearkats.com/SportSelect.dbml?&DB_OEM_ID=19900&SPID=11350&SPSID=92983"
"","","Beaverton City Library","","",""
"","667978444","Beenleigh Historical Village","","45710682","http://beenleighhistoricalvillage.com.au/"
"","","Believers Church Medical College Hospital","","",""
"","","Museo de Arte Precolombino Felipe Orlando de Benalmádena","","",""
"","661148819","Bengtsfors Church","","46590884",""
"","669075154","Beth Tzedec Congregation","","46532473","http://www.beth-tzedec.org/"
"","671222421","Bethania Lutheran Church","","45710965","http://www.bethanialutheran.org.au/"
"","670808280","Bexhövede","","46831557",""
"","","Bharat Kala Bhavan","","",""
"","","Bhidauni","","",""
"","657111702","Biberg (Kipfenberg)","","45707014","http://www.bayerns-mitte.de/index.php?pageid=17&zv=3&id=4/"
"","","Biblical Museum of Natural History","","",""
