"birth place","label","Geburtsort","Geburtsdatum"
"http://dbpedia.org/resource/United_States","Jessica Mae","http://dbpedia.org/resource/United_States","1986-10-04"
"","Jessica McKellar","",""
"","Jessica Shirvington","","1979-04-15"
"http://dbpedia.org/resource/Guangdong","Jessica Xue","http://dbpedia.org/resource/Guangdong",""
"Kuching, Malaysia","鍾潔希","",""
"","Jessie Gregory","http://dbpedia.org/resource/Ontario",""
"Sheffield, England","Jessie Walker","http://dbpedia.org/resource/Sheffield","1994-09-20"
"http://dbpedia.org/resource/United_States","Jessimae Peluso","http://dbpedia.org/resource/United_States",""
"Badajoz","Jesús Antúnez","http://dbpedia.org/resource/Badajoz",""
"Saipan,","Jian Joyner","http://dbpedia.org/resource/Northern_Mariana_Islands",""
"Kochi, India","Jibin George Sebastian","http://dbpedia.org/resource/Kochi","1988-05-01"
"Baltimore, Maryland","Jill Shaw Ruddock","http://dbpedia.org/resource/Baltimore",""
"http://dbpedia.org/resource/Minneapolis","Jim Hughart","http://dbpedia.org/resource/Minneapolis",""
"http://dbpedia.org/resource/Bay_Shore,_New_York","Jim Nash (politician)","http://dbpedia.org/resource/Bay_Shore,_New_York","1967-09-23"
"Montreal, Quebec","Jim Stevenson (Canadian politician)","",""
"","Jimena Fama","",""
"http://dbpedia.org/resource/Scotland","Jimmy Gunn (golfer)","",""
"","Jimmy Hicks","",""
"http://dbpedia.org/resource/Lahore","Jimmy Khan","http://dbpedia.org/resource/Lahore",""
"Kawanishi, Hyōgo, Japan","Jimon Terakado","http://dbpedia.org/resource/Kawanishi,_Hyōgo","1962-11-25"
