"Geburtsdatum","birth place","Geburtsort","label"
"1963-06-13","Třinec, Czech Republic","http://dbpedia.org/resource/Třinec","Eva Kiedroňová"
"1987-06-16","http://dbpedia.org/resource/Saskatchewan","http://dbpedia.org/resource/Saskatchewan","Evan Neufeldt"
"","Calgary","http://dbpedia.org/resource/Calgary","Evan Woolley"
"1991-11-26","","","Evana Manandhar"
"1929-04-28","Mexico City, Mexico","http://dbpedia.org/resource/Mexico_City","Evangelina Elizondo"
"","Colmar, France","http://dbpedia.org/resource/Colmar","Eve Risser"
"1964","","","Ewa Kupiec"
"","http://dbpedia.org/resource/Nice","http://dbpedia.org/resource/Nice","Fabio Quartararo"
"1992-02-02","http://dbpedia.org/resource/Guatemala","http://dbpedia.org/resource/Guatemala","Fabiola Aburto"
"1954-01-28","Charleville-Mézières, France","http://dbpedia.org/resource/Charleville-Mézières","Fabrice Ziolkowski"
"1972-12-22","http://dbpedia.org/resource/Bangladesh","http://dbpedia.org/resource/Bangladesh","Fahimul Anam"
"","http://dbpedia.org/resource/Rotorua","http://dbpedia.org/resource/Rotorua","Faith Van Duin"
"1981","","http://dbpedia.org/resource/Senegal","Fatima Al Qadiri"
"","http://dbpedia.org/resource/Malatya","http://dbpedia.org/resource/Malatya","Fatma Güldemet Sarı"
"","Australia","","Favel Parrett"
"","http://dbpedia.org/resource/Sivas","http://dbpedia.org/resource/Sivas","Feridun Bilgin"
"","","http://dbpedia.org/resource/Rio_de_Janeiro","Fernanda Brum"
"","","http://dbpedia.org/resource/Milan","Fernando Carcupino"
"2000-02-15","Mellerud, Sweden","http://dbpedia.org/resource/Mellerud","Filiph Sandström"
"","http://dbpedia.org/resource/Santa_Monica,_California","http://dbpedia.org/resource/Santa_Monica,_California","Fiona A. Harrison"
