"label","cover artist","Wikipage revision ID","country","genre","Wikipage page ID"
"For God & Country (Book)","http://dbpedia.org/resource/Rodney_Connors","672243292","United States","http://dbpedia.org/resource/War_novel","47266170"
"Francis Bacon: The Logic of Sensation","","682925543","","","47185429"
"Frigidaire (rivista)","","","","",""
"From Nowhere to the North Pole","","","","",""
"Gazetteer of the Persian Gulf, Oman and Central Arabia","","677350485","","","47486823"
"God and Texas","","670778015","","","47172870"
"Golden Boys (novel)","","672717079","","","47316304"
"故事会","","","","",""
"Hard Work: Life in Low-pay Britain","","","","",""
"北斗の拳 イチゴ味","","683553003","","","47541625"
"Horoi","","683025815","","","47201725"
"Host and Guest","","","","",""
"How to Get Tough About It","","671009472","","","47172906"
"Io non ho paura (romanzo)","","677540241","","","47532345"
"Ideal (novel)","","677094150","","","47233473"
"Igi","","","","","47525904"
"Il piacere (romanzo)","","675564956","","","47212930"
"Il trionfo della morte","","675564995","","","47212932"
"In Search of a Character: Two African Journals","","","","",""
"In the Days When the World was Wide and Other Verses","","679697554","","","47529849"
