"Wikipage revision ID","label","Wikipage page ID"
"676509663","All Saints' Church, Pavement, York","46629574"
"683767746","All Saints' Church, Pitsford","47978822"
"661056227","All Saints' Church, Ripley","46474820"
"","All Saints' Church, Small Heath (II)","45706190"
"676113844","All Saints' Hampton","46890698"
"683767494","All Saints’ Church, West Haddon","47986674"
"676114307","All Souls, St Margarets","46221613"
"","Allentown NJ Public Library",""
"662954836","Alquerubim","46739210"
"670063919","Hamburg-Altstadt","46210709"
"681834486","Alumpeedika","47795648"
"","American Museum of Ceramic Art","46836209"
"680247049","Amruka","47767447"
"","アミューズミュージアム",""
"675712404","Anaheim GardenWalk","46954670"
"668869224","Anda, Chhattisgarh","46673015"
"681276108","Ang Mo Kio - Thye Hua Kwan Hospital","47755009"
"667550889","Animbiigoo Zaagi'igan Anishinaabek First Nation","46862104"
"682066977","Ankutia","47887712"
"","青森県立美術館","46377892"
