"label","Wikipage page ID","Geburtsort","Geburtsdatum"
"Jane Hamlyn","45660561","http://dbpedia.org/resource/Whitechapel","1940"
"Jane Holtz Kay","","http://dbpedia.org/resource/Boston","1938-07-07"
"Jane Marsching","","",""
"Jane Osti","","http://dbpedia.org/resource/Tahlequah,_Oklahoma",""
"Jane Packer","","","1959-09-22"
"Janet Tobias","46245215","","1958-01-10"
"Janetta Rebold Benton","","http://dbpedia.org/resource/Philadelphia","1945"
"Janeé Ayers","","http://dbpedia.org/resource/Michigan",""
"Janice Miller","","http://dbpedia.org/resource/California",""
"Janid","","http://dbpedia.org/resource/New_York",""
"Janieta Eyre","","http://dbpedia.org/resource/England",""
"Janis Cooke Newman","","",""
"Janos Delacruz","","","1985-11-05"
"Jared Artaud","","",""
"Jared Cohn","","http://dbpedia.org/resource/New_York",""
"Jared Morgenstern","","http://dbpedia.org/resource/New_York",""
"Jarkko Tontti","","http://dbpedia.org/resource/Tampere","1971-12-09"
"Jason Champion","","http://dbpedia.org/resource/Cleveland",""
"Jason Nelson (musician)","","http://dbpedia.org/resource/Baltimore",""
"Jason Nixon","","http://dbpedia.org/resource/Calgary","1980-05-26"
