"Wikipage page ID","Wikipage revision ID","label"
"46311029","658601260","Sushi Nakazawa"
"46319814","","Sushi Yoshitake"
"47713093","680133663","Swabian-Franconian Forest"
"47698817","679090466","Swanquarter Wilderness"
"45662843","652830178","Swanshurst Park"
"","","Arkitekturmuseet"
"46507854","","Swords Pavilions"
"46686206","662107142","Sørlandet Hospital Arendal"
"46728094","666390609","TESCO Bukit Tinggi station"
"46937855","675408679","Tahmek (municipio)"
"47860489","681673434","Taltali Upazila"
"","","Tau Devi Lal Cricket Stadium"
"46531801","682294158","Tayto Park"
"46765821","668522422","Teiči Nature Reserve"
"46945508","675409716","Tekal de Venegas (municipio)"
"","","Telowie Gorge Conservation Park"
"","","Temple of the Tooth Museum"
"47992991","683626839","Tennessee Agricultural Museum"
"46945859","675409836","Tepakán (municipio)"
"46775683","670775640","Teufelsmühle (Schwarzwald)"
