"label","Wikipage page ID","Wikipage revision ID"
"Folk Museum (Anuradhapura)","47172559","670278160"
"Franklin Barbecue","45373326","681220562"
"Friendship Park (Bloomingdale, NJ)","47428748","678694327"
"Furillen","47066153","671395216"
"Gallery MOMO","47471297",""
"Gare de Dachstein","47242484","681151094"
"Gare de Duppigheim","47255462","681151136"
"Gare de Molsheim","47298619","681150963"
"Gare de Saverne","47240104","681151087"
"Gas Monkey Bar N' Grill","45608740","673044759"
"Gelian Hotel, Machakos","47606176","682870417"
"Offshore-Windpark Gemini","45341752","680325265"
"Museum des Deutschsprachigen Judentums Tefen","",""
"Gotlands Fornsal","",""
"Grace Church (Kilmarnock, Virginia)","45379587","672327666"
"Гридчинхолл","47244281","671661640"
"Gunwi-eup","47057148","668267713"
"Gustu","47203787","671574972"
"Haddowali","45338031","647116931"
"Haidernagar block","47543256","683773138"
