"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"47536249","Boston Surface Railroad","http://www.bsrc.com/","677826251"
"45591972","Brisbane Dental Hospital and College","","672843388"
"45445274","Brookland Hall","","671077644"
"45560488","Bryce resort","","656764985"
"47451342","Buctzotz (municipio)","http://www.yucatan.gob.mx/estado/municipios/31101a.htm","675495696"
"47075669","Burjeel Hospital","http://www.burjeel.com","678805650"
"47278519","Schloss Bützow","http://www.schloss-buetzow.de/","672228267"
"47228754","Национальный театр имени Василе Александри","http://teatrulnationalbalti.md/ro/","672797806"
"45550014","Caddo Lake National Wildlife Refuge","http://www.fws.gov/refuge/Caddo_Lake/","649922356"
"45331622","Callington Road Hospital","","675509484"
"47456631","Calotmul (municipio)","http://www.yucatan.gob.mx/estado/municipios/31101a.htm","675495852"
"47254783","Cannon Club","http://cannonclub.com","675348728"
"47405214","Cantamayec (municipio)","http://www.yucatan.gob.mx/estado/municipios/31101a.htm","675496023"
"47537394","Cardiff Reform Synagogue","http://cardiffreformsynagogue.uk/","676460318"
"47333241","Care Hospitals","","681525962"
"","Casanova (restaurant)","",""
"47644063","Cascina Increa","","683649776"
"45378472","Castle Heights, Los Angeles","https://chnapalms.wordpress.com","674504217"
"47169636","Catamount Recording Studio","http://www.catamountrecording.com/","672756224"
"47499981","Cattedrale di České Budějovice","","683063290"
