"label","Geburtsort","birth place"
"Ansiba Hassan","http://dbpedia.org/resource/Kerala","http://dbpedia.org/resource/Kerala"
"Antara Nandy","http://dbpedia.org/resource/Assam","Sivasagar, Assam, India"
"Anthony Kilhoffer","",""
"Anthony R.J. Moran","http://dbpedia.org/resource/Middletown,_Connecticut","http://dbpedia.org/resource/Middletown,_Connecticut"
"Tony Hunter","",""
"Antoine Westermann","http://dbpedia.org/resource/France","http://dbpedia.org/resource/France"
"Antonio Raillo","http://dbpedia.org/resource/Córdoba,_Andalusia","Córdoba, Spain"
"Antti Asplund","http://dbpedia.org/resource/Oulu",""
"Anu Elizabeth Jose","http://dbpedia.org/resource/Alappuzha","http://dbpedia.org/resource/Alappuzha"
"森川葵","http://dbpedia.org/resource/Aichi_Prefecture","http://dbpedia.org/resource/Aichi_Prefecture"
"中別府葵","http://dbpedia.org/resource/Kumamoto_Prefecture","http://dbpedia.org/resource/Kumamoto_Prefecture"
"Arielle (singer)","http://dbpedia.org/resource/Short_Hills,_New_Jersey","Short Hills, New Jersey, U.S."
"Arif Peçenek","",""
"Arnaldo Ferrari Nasi","http://dbpedia.org/resource/Chiavari","Chiavari, Genoa, Italy"
"Art Hirahara","",""
"Arturo Montero","http://dbpedia.org/resource/Mexico_City","http://dbpedia.org/resource/Mexico_City"
"Arun Dubey","http://dbpedia.org/resource/Jaunpur","http://dbpedia.org/resource/Jaunpur"
"Aryn Michelle","http://dbpedia.org/resource/Fort_Worth,_Texas","http://dbpedia.org/resource/Fort_Worth,_Texas"
"Asako Ito","http://dbpedia.org/resource/Shibuya","Shibuya, Tokyo, Japan"
"Asana Mamoru","http://dbpedia.org/resource/Tokyo","Tokyo, Japan"
