"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://www.angelinus.com/default.asp","46424152","Angel-in-us","682836635"
"","46507892","Angel Broking",""
"","46544259","Angelo & Veronica",""
"http://www.animaccord.ru/","46994482","Animaccord Animation Studio","667691506"
"","","Anita Shapolsky Gallery",""
"http://www.annfoundation.org/","46649284","Ann Foundation","682448778"
"","46316100","Annisokay",""
"","47752939","Antena Latina",""
"http://www.antfood.com/","46989422","Antfood","676349549"
"","","Anti-Recidivism Coalition",""
"http://theantiquitiescoalition.org","46716466","Antiquities Coalition","666894401"
"","47646708","Antonius Rex","681565263"
"","46580683","Apadmi","669310599"
"","","Apanhador Só",""
"http://apollonkriasvrisis.blogspot.gr/","47996161","Apollon 1960 Krya Vrysi F.C.","683668893"
"","47909555","Apollon Lympion","682789365"
"https://www.appboy.com","47646612","Appboy","678225456"
"","46750828","ApprenNet","673329564"
"http://www.appsflyer.com","46672899","AppsFlyer","674482660"
"http://appthority.com","46244062","Appthority","677176571"
