"number of volumes","Magazin","Herausgeber","label"
"49","http://dbpedia.org/resource/CoroCoro_Comic","http://dbpedia.org/resource/Shogakukan",""
"","","","List of the Lost"
"","","","Lord of Scoundrels"
"","","","Love Letters to the Dead (novel)"
"","","","いとしのムーコ"
"","","","Mahō Shōjo Ikusei Keikaku"
"","","","Make Something Up"
"","","","Making the Corps"
"","","","Masha, or the Fourth Reich"
"","","","Masons (novel)"
"","","","Mateship with Birds"
"","","","Mayur Times"
"","","","Mefisto in Onyx"
"","","","Meltdown: The End of the Age of Greed"
"","","","Memoirs of the Actor in a Supporting Role"
"","","","Millennium (2015 comic book)"
"","","","Minding Frankie"
"","","","Modern Baptists"
"","","","Modern Idyll"
"","","","Mono.Kultur"
