"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://clubs.rfu.com/Fixtures/MatchByDivision.aspx?DivID=159357770","Durham/Northumberland 4","661756034","45688883"
"","Dwellable","",""
"","Dyke House Sports and Technology College","","46808202"
"","Dynamic Leap Technology Inc.","664619869","46760203"
"","دزاير تي في","",""
"http://dzama-international.com","Dzama","671957495","47035055"
"http://www.groupedci.com","Défense conseil international","674014071","47372444"
"http://www.duerrdental.com/","Dürr Dental","673441004","46822499"
"","SPM Shoeters Den Bosch","","46278398"
"http://www.eldilindia.com/","ELDIL","680076017","45634516"
"http://www.emmaforpeace.org/","EMMA for Peace","679832116","46233332"
"http://www.emptrust.com","EMPTrust","683768563","47795543"
"","EMedia Productions","678549282","47659885"
"http://www.eonreality.com/","EON Reality","680403748","46588759"
"","ERT3 (studio)","","47037184"
"http://erko.sk","ERko – Hnutie kresťanských spoločenstiev detí","683013022","47850130"
"","ETV Hindi","",""
"http://www.etsolar.com","ET Solar","666133926","46928927"
"http://eu-austrittspartei.at","EU-Austrittspartei","680366631","46294964"
"","Российское агентство по страхованию экспортных кредитов и инвестиций","",""
