"Wikipage revision ID","label","Wikipage page ID"
"545762853","Ambalaomby","24910784"
"","Ambalapitiya",""
"","Ambanja Airport",""
"545923000","Ambanpola","27534302"
"","Ambaoruwa",""
"","Ambararatabe",""
"","Ambarawa",""
"","Ambartchik",""
"652858110","Ambartsjikbocht","21333267"
"","Ambarikorano",""
"","Ambaripaika",""
"","Ambarnath",""
"","Ambatoboeny",""
"","Ambatoharanana (Mananara Nord)",""
"","Ambatolampy",""
"","Ambatomainty",""
"","Ambatondrakalavao",""
"","Ambatosola",""
"","Ambatotsipihina",""
"","Ambattur",""
