"label","birth place","Geburtsdatum","Geburtsort"
"Ben Sanders (author)","http://dbpedia.org/resource/Auckland","1989","http://dbpedia.org/resource/Auckland"
"Bence Peter","","1991-09-05",""
"Benjamin Bejbaum","Paris, France","1976-11-20","http://dbpedia.org/resource/Paris"
"Benjamin Bowman","Urbana, Illinois, United States","1979-09-20","http://dbpedia.org/resource/Illinois"
"Benny Lewis","","",""
"Bernhard Hoëcker","","1970-03-20","http://dbpedia.org/resource/Neustadt_an_der_Weinstraße"
"Beso Turazashvili","http://dbpedia.org/resource/Tbilisi","","http://dbpedia.org/resource/Tbilisi"
"Beverly Jenkins","Detroit, United States","","http://dbpedia.org/resource/Detroit"
"Bhakti Arora Manekar","Allahabad, India","1984-10-30","http://dbpedia.org/resource/Allahabad"
"Bharat Aggarwal","","",""
"Bhavani Thuraisingham","","",""
"Bianca Atzei","Milan, Italy","","http://dbpedia.org/resource/Milan"
"Bianca Spriggs","Milwaukee, Wisconsin","",""
"Bianca Sánchez","http://dbpedia.org/resource/Montevideo","1995","http://dbpedia.org/resource/Montevideo"
"Biel Ballester","","","http://dbpedia.org/resource/Spain"
"Bignic","","",""
"Bill Ottman","http://dbpedia.org/resource/New_York_City","1985-11-02","http://dbpedia.org/resource/New_York_City"
"Bill Winston","Tuskegee, Alabama, U.S.","","http://dbpedia.org/resource/Tuskegee,_Alabama"
"Billy Riggs","http://dbpedia.org/resource/Louisville,_Kentucky","","http://dbpedia.org/resource/Louisville,_Kentucky"
"Blaccode","","","http://dbpedia.org/resource/Ondo_State"
