"Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID","affiliation","label"
"675800219","http://www.childrens.com","46901977","http://dbpedia.org/resource/University_of_Texas_Southwestern_Medical_Center","Children's Health (health care system)"
"","","45644141","","Children's Museum of Science and Technology"
"","","","","Musée de l'imprimerie de Chine"
"681970507","http://www.chisenhaledancespace.co.uk/","46465868","","Chisenhale Dance Space"
"670402761","http://www.holytrinityandchristchurch.org/","46288313","","Christ Church, Chesterfield"
"655161734","http://1ua.com.ua/c25266","46323864","","Chuchmany"
"671987138","http://eng.sdm.go.kr/intro/intro02_e.php?m=4&sub=4","46948560","","Chunghyeon-dong"
"671752807","http://koe.mk/","46375377","","Church St. George, Beljakovce"
"671752809","http://koe.mk/","46375458","","Church St. Nicholas, Beljakovce"
"676854280","http://www.olps.sg","47316303","","Church of Our Lady of Perpetual Succour"
"669832423","http://www.fratiminoriconventualisicilia.it/conventi/alcamo.htm","46356342","","Chiesa di San Francesco d'Assisi (Alcamo)"
"672359717","http://www.parrocchie.it/alcamo/sanpaolo/","46425640","","Chiesa dei Santi Paolo e Bartolomeo"
"680520827","http://www.martinvezdi.eu/","46902309","","St. Martin in der Mauer"
"669018668","","46899784","","Church of St James, Twickenham"
"671680276","","46719298","","Church of St John the Baptist, Royston"
"674943752","http://www.stmargarets-church.co.uk/","46719749","","Church of St Margaret of Scotland"
"670369168","","46258780","","Church of St Matthias, Malvern Link"
"670369155","","46236337","","Church of St Peter, Cowleigh"
"672208798","http://www.ascensionstirchley.com","46248931","","Church of the Ascension, Stirchley (II)"
"683154623","http://www.atletico.com.br/futebol/cidade-galo/","47776869","","Cidade do Galo"
