"Wikipage page ID","Wikipage revision ID","label"
"47309058","672970524","Vie de Henry Brulard"
"","","The Long March (novel)"
"","","The Loo Sanction"
"","","The Ludgate Monthly"
"47437068","","The Lying Days"
"47288163","680906813","The Man Who (play)"
"47207846","679699014","The Man from Snowy River and Other Verses"
"47431685","674568735","The Many Worlds of Poul Anderson"
"47506901","","La Pitié de Dieu"
"47414705","678053564","The Meursault Investigation"
"","","The New Dead"
"","","The Obama Syndrome"
"47209047","","The Object of My Affection (novel)"
"47432851","674697864","The Other Worlds"
"","","Les Réprouvés (von Salomon)"
"47397837","674021492","The Patron Saint of Eels"
"47291930","674171602","The Pink and the Green"
"47190687","683977513","The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies"
"47159265","","The Story of Kullervo"
"47428808","679786271","The Streets of Paris"
