"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Delta_State","Ike Odimegwu","http://dbpedia.org/resource/Delta_State"
"","Imthias Kadeer",""
"http://dbpedia.org/resource/Boca_Raton,_Florida","Indi Cowie","http://dbpedia.org/resource/Boca_Raton,_Florida"
"Santa Monica, Californa","Inez Storer","http://dbpedia.org/resource/California"
"http://dbpedia.org/resource/Romania","Ionuț Caragea","http://dbpedia.org/resource/Romania"
"http://dbpedia.org/resource/Spain","Iosune Murillo Elkano","http://dbpedia.org/resource/Spain"
"","Iren Dimitrova",""
"http://dbpedia.org/resource/Greensboro,_North_Carolina","Isaac Carree","http://dbpedia.org/resource/Greensboro,_North_Carolina"
"","Isaac Waddington",""
"","Isabella Bertold",""
"","Ishitha Chauhan",""
"http://dbpedia.org/resource/Budapest","István Regős","http://dbpedia.org/resource/Budapest"
"http://dbpedia.org/resource/Hungary","István Simicskó","http://dbpedia.org/resource/Hungary"
"http://dbpedia.org/resource/Bulgaria","Ivan Bochev","http://dbpedia.org/resource/Bulgaria"
"","Ivana Raymonda van der Veen",""
"","Ivo Nesrovnal",""
"http://dbpedia.org/resource/Tehran","Izak Parviz Nazarian","http://dbpedia.org/resource/Tehran"
"http://dbpedia.org/resource/Albany,_New_York","J.D. Kleinke","http://dbpedia.org/resource/Albany,_New_York"
"","J.Gray",""
"http://dbpedia.org/resource/San_Francisco","J.Lately","http://dbpedia.org/resource/San_Francisco"
