"Geburtsdatum","Geburtsort","label","birth place"
"1984-07-31","http://dbpedia.org/resource/Jammu","Junaid Sheikh","http://dbpedia.org/resource/Jammu"
"1933-06-16","","June Harwood",""
"","http://dbpedia.org/resource/Iwate_Prefecture","戸塚純貴","http://dbpedia.org/resource/Iwate_Prefecture"
"","http://dbpedia.org/resource/Birmingham,_Alabama","Justin Jarvis","http://dbpedia.org/resource/Birmingham,_Alabama"
"1963-05-16","http://dbpedia.org/resource/Providence,_Rhode_Island","Justin K. Price","http://dbpedia.org/resource/West_Palm_Beach,_Florida"
"1986-03-10","","Justin Kauflin",""
"","","Justin Newcombe",""
"","http://dbpedia.org/resource/Cobar","Justin Sampson",""
"","http://dbpedia.org/resource/Rouen","Jérémy Marie","http://dbpedia.org/resource/Rouen"
"","http://dbpedia.org/resource/Zürich","Jörg Schneider (Schauspieler)",""
"1973-11-22","http://dbpedia.org/resource/Rio_de_Janeiro","Júnior Lopes","Rio de Janeiro, Brazil"
"1956-05-07","http://dbpedia.org/resource/Bangladesh","K.M. Akhtaruzzaman",""
"1990","http://dbpedia.org/resource/Puducherry","K. Pavithiran","Chengalpet, Tamilnadu, India"
"2000-05-23","http://dbpedia.org/resource/Tirunelveli","K. Visalini","Tirunelveli, India"
"1970","http://dbpedia.org/resource/Hong_Kong_people","Kacey Wong","Hong Kong"
"","","Kai Schumacher",""
"1992-02-14","http://dbpedia.org/resource/Yakima,_Washington","Kailee Dunn","Yakima, Washington, U.S."
"1998-04-05","http://dbpedia.org/resource/Aichi_Prefecture","中村嘉惟人","Nagoya, Aichi Prefecture, Japan"
"1978-01-13","http://dbpedia.org/resource/Katowice","Kaja Renkas","http://dbpedia.org/resource/Katowice"
"1994-08-25","http://dbpedia.org/resource/Hazaribagh","Kajol Aikat","Hazaribagh, Jharkhand, India"
