"label","Wikipage page ID"
"ラトゥナプラ国立博物館","46887816"
"National University Cancer Institute, Singapore",""
"National Wool Museum (Geelong)",""
"Natural History Museum, Aarhus","47745849"
"Natural Park of Las Batuecas","46595486"
"Reserva natural nacional de San Bartolomé","46979678"
"Nehru Stadium, Hubli",""
"Nehru Stadium, Shimoga","47725560"
"Nehru Stadium, Tumkur","47725461"
"Neptune's Net","45630927"
"Nethercutt Collection","46289783"
"Hamburg-Neustadt","46299499"
"New Cambridge Lofts","47309737"
"New England Baseball Complex","46219664"
"New Post 69A, Ontario","46887800"
"Nongong","47014380"
"North Ipswich Railway Workshops","46783632"
"North Oak Park","46572756"
"Northeast Frontier Railway Stadium","47721492"
"Northern Railway Cricket Ground, Jodhpur",""
